model,rcp,mgm,windcase,score,resilience,score_01,res_01,dist
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w5,2.73145382638019,0.917985581335623,0.682863456595048,0.917985581335623,0.327569766663068
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w6,2.70913506656009,0.926002022421042,0.677283766640023,0.926002022421042,0.331091328729442
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w7,2.71160600384842,0.920696910673614,0.677901500962105,0.920696910673614,0.3317173843186
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w8,2.72949832296972,0.918579274171727,0.68237458074243,0.918579274171727,0.327895168541639
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w9,2.69640109581212,0.923559850589509,0.67410027395303,0.923559850589509,0.334744272362334
EC-EARTH_RACMO22E-r1,rcp45,BAU,w5,2.73876784333634,0.898340135372134,0.684691960834085,0.898340135372134,0.331291242925028
EC-EARTH_RACMO22E-r1,rcp45,BAU,w6,2.69407828657595,0.8947116078506,0.673519571643987,0.8947116078506,0.343038067305848
EC-EARTH_RACMO22E-r1,rcp45,BAU,w7,2.69459801526225,0.893272004055751,0.673649503815563,0.893272004055751,0.343359158139264
EC-EARTH_RACMO22E-r1,rcp45,BAU,w8,2.71920847621647,0.879861939777971,0.679802119054117,0.879861939777971,0.341993912922651
EC-EARTH_RACMO22E-r1,rcp45,BAU,w9,2.66007319431744,0.894931652443622,0.66501829857936,0.894931652443622,0.351072781549488
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w5,2.72550121989686,0.918390965064859,0.681375304974215,0.918390965064859,0.32890991299035
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w6,2.70283964295594,0.912743006085453,0.675709910738985,0.912743006085453,0.335824128049073
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w7,2.70952974814024,0.924459822578974,0.67738243703506,0.924459822578974,0.331343342076217
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w8,2.7276127128085,0.923347011838893,0.681903178202125,0.923347011838893,0.327202183109979
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w9,2.67859112807074,0.92408882518393,0.669647782017685,0.92408882518393,0.338961788978921
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w5,2.78856123940326,0.850661220087201,0.697140309850815,0.850661220087201,0.337677454241623
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w6,2.72267057683994,0.86946361656342,0.680667644209985,0.86946361656342,0.344982464561755
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w7,2.71547015079495,0.86899708340983,0.678867537698738,0.86899708340983,0.34682534869701
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w8,2.79751896308191,0.870030287203203,0.699379740770477,0.870030287203203,0.32751284937191
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w9,2.67044870393495,0.888944633727327,0.667612175983737,0.888944633727327,0.350449653919395
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w5,2.92625798174491,0.842066881137267,0.731564495436227,0.842066881137267,0.311449016925912
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w6,2.85246917245342,0.862514596530533,0.713117293113355,0.862514596530533,0.318125641339661
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w7,2.83721965910158,0.865849850619306,0.709304914775395,0.865849850619306,0.320156048127476
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w8,2.95870042806812,0.866105530017603,0.73967510701703,0.866105530017603,0.292740121948567
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w9,2.75688671284227,0.880462909207246,0.689221678210567,0.880462909207246,0.332974896004866
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w5,2.88837044346865,0.919331095332043,0.722092610867162,0.919331095332043,0.28937862587786
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w6,2.85594665502731,0.91943888880067,0.713986663756828,0.91943888880067,0.297142593962261
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w7,2.84416715383832,0.918070199474498,0.71104178845958,0.918070199474498,0.300348697734461
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w8,2.86908659026986,0.924011799228458,0.717271647567465,0.924011799228458,0.292761896300922
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w9,2.82523341418088,0.923339553123293,0.70630835354522,0.923339553123293,0.303531888460926
EC-EARTH_RACMO22E-r1,rcp85,BAU,w5,2.88866159005793,0.880469090000391,0.722165397514482,0.880469090000391,0.302456120426782
EC-EARTH_RACMO22E-r1,rcp85,BAU,w6,2.82484070433758,0.885582087067469,0.706210176084395,0.885582087067469,0.315283871195782
EC-EARTH_RACMO22E-r1,rcp85,BAU,w7,2.84534382676971,0.884625299123609,0.711335956692428,0.884625299123609,0.310866935361406
EC-EARTH_RACMO22E-r1,rcp85,BAU,w8,2.88404538583732,0.882850178693227,0.72101134645933,0.882850178693227,0.302586763485525
EC-EARTH_RACMO22E-r1,rcp85,BAU,w9,2.82281280433362,0.891103466001631,0.705703201083405,0.891103466001631,0.313797802684169
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w5,2.88794045169339,0.910954983696792,0.721985112923348,0.910954983696792,0.291926861327769
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w6,2.84731018655909,0.911875726470581,0.711827546639773,0.911875726470581,0.30134573244156
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w7,2.87042953365064,0.911877325681307,0.71760738341266,0.911877325681307,0.295822912621932
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w8,2.88881008045798,0.903436581555009,0.722202520114495,0.903436581555009,0.294101910249696
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w9,2.82586753092019,0.907463246089249,0.706466882730048,0.907463246089249,0.307773848399364
EC-EARTH_RACMO22E-r1,rcp85,CONSERVATION,w5,2.96632524744254,0.859040616664173,0.741581311860635,0.859040616664173,0.294363323343937
EC-EARTH_RACMO22E-r1,rcp85,CONSERVATION,w6,2.87257944554911,0.879204460431545,0.718144861387278,0.879204460431545,0.30664944405955
