"year","total_carbon_kg","volume_m3","TC_49","VOL_49","Perc_Diff_TC","Perc_Diff_VOL","recovery_year_total_carbon","recovery_year_volume","year_after_impact","model","mgm","rcp","windcase"
49,116045.311851294,281.430946726092,116045.311851294,281.430946726092,0,0,72,72,0,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
50,88049.7156170653,208.943046383972,116045.311851294,281.430946726092,-24.1247111043174,-25.7569045570069,72,72,1,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
51,91853.8189978899,219.169472048655,116045.311851294,281.430946726092,-20.8465921349796,-22.1231799138403,72,72,2,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
52,91964.1819672526,218.037256755271,116045.311851294,281.430946726092,-20.7514887933606,-22.5254865210399,72,72,3,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
53,92188.6106534251,217.630059378439,116045.311851294,281.430946726092,-20.558091332841,-22.6701747230907,72,72,4,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
54,90180.2062343663,210.551061856352,116045.311851294,281.430946726092,-22.2887984049478,-25.1855333232863,72,72,5,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
55,89865.5502946238,208.788757301158,116045.311851294,281.430946726092,-22.5599476092738,-25.8117276262567,72,72,6,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
56,88011.9134619436,204.334753160326,116045.311851294,281.430946726092,-24.1572864445174,-27.394355333922,72,72,7,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
57,90219.0608750702,210.570093765587,116045.311851294,281.430946726092,-22.2553161038673,-25.1787707730208,72,72,8,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
58,90471.9826868854,209.920080964702,116045.311851294,281.430946726092,-22.0373651950539,-25.4097378391687,72,72,9,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
59,90550.508529728,210.573134105593,116045.311851294,281.430946726092,-21.9696969354837,-25.1776904582789,72,72,10,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
60,88603.1282479416,205.797804323997,116045.311851294,281.430946726092,-23.6478175339977,-26.8744938259069,72,72,11,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
61,90106.4220195466,209.140090394966,116045.311851294,281.430946726092,-22.3523806502299,-25.6868895095197,72,72,12,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
62,92924.8531560627,215.622640724695,116045.311851294,281.430946726092,-19.9236473463566,-23.3834646711567,72,72,13,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
63,97236.9788849909,227.372728416901,116045.311851294,281.430946726092,-16.2077490820182,-19.2083418465717,72,72,14,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
