"rcp","model","mgm","windcase","nat.mortality.volperha","impact","NEP","standing.volume.decidious","BA.decidious","deadwood.c.ag","carbonstock","shannon_BA_landscape","shannon_VOL_landscape","annual.harvest","annual.increment","standing.volume","LAI"
"-","refclim","ADAPTATION","w5",0.896580007727855,0.574732288587443,0.812034743903198,0.779620816636978,0.87763717263956,0.731283477866194,0.919198758626282,1,1,0.94184556613682,0.988933564729391,0.841391317479476,0.903259703691065
"-","refclim","ADAPTATION","w6",0.98691870635367,0.759825183919547,0.835891145523071,1,1,1,0.997976063481332,1,1,0.931887238697955,0.989868233419599,0.970750120994087,0.904561018744817
"-","refclim","ADAPTATION","w7",1,0.787021746712092,1,1,1,1,1,1,1,0.941247988045725,1,0.980094849609628,0.999903603302938
"-","refclim","ADAPTATION","w8",1,0.824868793648967,1,1,1,1,1,1,1,0.959280085086419,1,0.961797716993221,0.979458610194038
"-","refclim","ADAPTATION","w9",0.977132574312098,0.794030282408269,0.818743619155055,1,1,1,0.994192035647057,1,1,0.947413527903613,0.988347602194848,0.958241373296159,0.899774395410275
"-","refclim","BAU","w5",0.859372840491708,0.703827342036193,0.625597828926998,0.645726908533566,0.654535096785943,0.726691491164669,0.915971940607021,0.780327088202555,0.784605738247192,1,0.991700014541254,0.878127230904689,0.92314170475245
"-","refclim","BAU","w6",0.913049214645997,1,0.458814424786178,0.807262948956457,0.735003622464501,0.996184154622648,0.977193008531848,0.797011661270964,0.801108769421253,1,0.987859166366755,0.970808841562311,0.889175949357534
"-","refclim","BAU","w7",0.943193928021142,1,0.614763665539331,0.821849572325012,0.743414771225467,0.996867758823614,0.987702856619931,0.794269808501004,0.79958364057702,1,0.999777222510901,1,1
"-","refclim","BAU","w8",0.963608411833238,1,0.81511641428622,0.839005628776331,0.759353615648682,0.999844046639402,0.995913089881487,0.792797747672979,0.798742605817112,1,0.998671655404669,1,1
"-","refclim","BAU","w9",0.925495994136895,1,0.440486940307059,0.813662677633792,0.734680372599073,0.995780133013457,0.980312050495229,0.793360779131996,0.797727812569404,1,0.985739259340891,0.975638201590945,0.897760539096901
"-","refclim","BIOECONOMY","w5",0.904527916370774,0.529061230138883,1,0.624246343632827,0.685039371652483,0.69945774903711,0.921185054011762,0.760763527976933,0.759869718959581,0.926288802628043,1,0.869177537000149,1
"-","refclim","BIOECONOMY","w6",1,0.713909629882983,1,0.820068180184305,0.800479474621037,0.963834649560291,1,0.769925754560018,0.770362842260869,0.921131124138461,1,1,1
"-","refclim","BIOECONOMY","w9",1,0.747385114341629,1,0.828503761238317,0.798598109617918,0.96452670553838,1,0.763080689886315,0.762369196159065,0.931506843779381,1,1,1
"-","refclim","CONSERVATION","w5",1,1,0.392983754867054,1,1,1,1,0.930379606887442,0.933902501346389,0.676228376675512,0.955442891795413,1,0.952191757222675
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w5",0.973349213351858,0.623260989619429,0.971827881907811,0.79150479064308,0.879141014227402,0.700550584276168,0.928725380168513,1,1,0.893539199349729,0.995790628467999,0.873674388891457,0.939469409726864
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w6",0.994849077774733,0.592028304970827,1,0.821733961441372,0.907982948206539,0.686101788921163,0.93649963056328,1,1,0.872833802699897,0.994970830625089,0.896560090252049,0.941635564148673
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w7",0.995623441454183,0.713307485414598,0.861083040389478,1,1,1,1,1,1,0.877439070528305,0.994307743228675,0.989036028254324,0.927304331029464
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w8",1,0.714674399316257,0.938009278565164,1,1,1,1,1,1,0.874364535043713,0.991616242687554,0.985599881548407,0.932854978932597
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w9",0.973564743602571,0.743309770943958,0.87763987461119,1,1,0.999417695546377,1,1,1,0.882705808802032,0.995495246726222,0.976926960309777,0.927258639109049
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w5",0.902958089156481,0.827956519267584,0.604638210933097,0.671201818755694,0.676971285246783,0.697477764550566,0.910058591412862,0.860318351836501,0.867972474684952,1,0.994971800859843,0.8806104368438,0.919919573413033
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w6",0.91481177402003,0.831914606439929,0.453113042439421,0.672168449448601,0.677882004117134,0.688685109181951,0.912603858199494,0.858085509548228,0.86433464618249,1,0.9955520388477,0.890819791463615,0.907940617799227
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w7",0.907170610449303,1,0.407183632385814,0.814414608970506,0.742970790111474,0.994796771897805,0.975228194287488,0.853173576958113,0.859502789707666,1,0.997387712777072,0.986061556536189,0.898503020708564
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w8",0.924927318377832,1,0.548378789442549,0.853152945003438,0.772647726128729,0.999649331525834,0.979894767818828,0.870046290259921,0.875796010128359,1,0.992721088979317,0.995639277117803,0.908075143636161
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w9",0.885013433801086,1,0.348920015635497,0.831485362126055,0.756806157508862,1,0.970136266330144,0.869889095626088,0.878567147029094,1,0.993425142819216,0.959719144100998,0.885165840513144
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5",0.958790900730293,0.673719219201499,1,0.692346686672281,0.73845866105654,0.675516674415006,0.919696045890686,0.837397514105157,0.848083388513823,0.908188051214876,1,0.87786720202524,1
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6",0.997838505172424,0.675499998870211,0.986444541579994,0.72111900166985,0.770725473652667,0.671041052842584,0.92819824476843,0.847868339368926,0.859195659523618,0.893849024199976,1,0.898799560897668,1
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7",1,0.749074592008003,1,0.859589044293111,0.833373927048986,0.961840879145559,0.99314512923311,0.834585007899083,0.844520760736378,0.869437967784439,1,1,1
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8",0.999160815083918,0.788378731134558,1,0.863315781861377,0.833896177337628,0.962549576098704,0.992350615915522,0.836261696044834,0.84414730853622,0.884031195944558,1,1,1
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9",1,0.734413782459898,1,0.877508537731995,0.848043879866302,0.966562804235287,0.997002084891484,0.843196788688913,0.852923702951861,0.867244263881321,1,1,1
"rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5",1,1,0.512018849520139,1,1,1,1,0.973847356293761,0.976236397078265,0.654101513655429,0.965225538489293,1,0.959246737659094
"rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6",1,1,0.346465128011667,1,1,1,1,0.969916486986194,0.971303941698707,0.646729916258127,0.965438088324139,1,0.94055618826937
"rcp45","MPI_CCLM","ADAPTATION","w5",0.984066143543522,0.647941841740829,0.982757515326376,0.785532969043409,0.873928158136956,0.724582704030826,0.935299619734578,1,1,0.870941701965596,0.992039859810103,0.889861421873748,0.948520272319597
"rcp45","MPI_CCLM","ADAPTATION","w6",0.995118602790169,0.622066945113062,0.995932003723954,0.793684152174127,0.877290062975985,0.70533741810344,0.946002300559353,1,0.996788870660977,0.863334526750622,0.99649162973707,0.928043529345846,0.942614752669031
