"","rcp","model","mgm","windcase","name","value","minfornorm","max","value.normalized1"
"1","-","refclim","ADAPTATION","w5","nat.mortality.volperha",3.22477654194129,0,5.61844159386771,0.573962813008681
"2","-","refclim","ADAPTATION","w5","impact",0.684033847332179,0,4.92439027259723,0.138907318361549
"3","-","refclim","ADAPTATION","w5","NEP",10.6636102582194,-388.953367502547,1217.44739498192,0.24876543082731
"4","-","refclim","ADAPTATION","w5","standing.volume.decidious",63.579209360554,0,128.822861263404,0.493539801375422
"5","-","refclim","ADAPTATION","w5","BA.decidious",7.52850858819798,0,12.4483497074567,0.60477965072658
"6","-","refclim","ADAPTATION","w5","deadwood.c.ag",17047.0937349445,0,37854.244296677,0.450335069466464
"7","-","refclim","ADAPTATION","w5","carbonstock",304291.350662534,0,387627.943172939,0.785008810695506
"8","-","refclim","ADAPTATION","w5","shannon_BA_landscape",1.90655599585266,0,2.12717269598936,0.896286417857536
"9","-","refclim","ADAPTATION","w5","shannon_VOL_landscape",1.70399226266676,0,2.0661929449391,0.824701423378919
"10","-","refclim","ADAPTATION","w5","annual.harvest",7.73030261017419,0,9.16575488718929,0.843389628603161
"11","-","refclim","ADAPTATION","w5","standing.volume",287.445232740623,0,483.94324804852,0.593964754957805
"12","-","refclim","ADAPTATION","w5","LAI",3.36191766096481,0,4.68851564070693,0.717053736960105
"13","-","refclim","ADAPTATION","w5","annual.increment",11.5664615782464,0,14.5910502388423,0.792709324477259
"14","-","refclim","ADAPTATION","w6","nat.mortality.volperha",3.15466740037763,0,5.61844159386771,0.561484416572171
"15","-","refclim","ADAPTATION","w6","impact",1.02249779233173,0,4.92439027259723,0.207639471229896
"16","-","refclim","ADAPTATION","w6","NEP",-48.9298138399104,-388.953367502547,1217.44739498192,0.211667948374698
"17","-","refclim","ADAPTATION","w6","standing.volume.decidious",62.7406471550094,0,128.822861263404,0.487030380630373
"18","-","refclim","ADAPTATION","w6","BA.decidious",7.45379800542271,0,12.4483497074567,0.598778005164638
"19","-","refclim","ADAPTATION","w6","deadwood.c.ag",17096.379828248,0,37854.244296677,0.451637065959043
"20","-","refclim","ADAPTATION","w6","carbonstock",302018.505346235,0,387627.943172939,0.779145339404726
"21","-","refclim","ADAPTATION","w6","shannon_BA_landscape",1.90912029644901,0,2.12717269598936,0.897491914995208
"22","-","refclim","ADAPTATION","w6","shannon_VOL_landscape",1.70816933295769,0,2.0661929449391,0.826723049820518
"23","-","refclim","ADAPTATION","w6","annual.harvest",7.82512610517213,0,9.16575488718929,0.853735038901059
"24","-","refclim","ADAPTATION","w6","standing.volume",281.97212339166,0,483.94324804852,0.582655351694027
"25","-","refclim","ADAPTATION","w6","LAI",3.32310925705292,0,4.68851564070693,0.70877640424206
"26","-","refclim","ADAPTATION","w6","annual.increment",11.5590139393701,0,14.5910502388423,0.792198899336198
"27","-","refclim","ADAPTATION","w7","nat.mortality.volperha",3.22689053008012,0,5.61844159386771,0.57433907181702
"28","-","refclim","ADAPTATION","w7","impact",0.74590039526584,0,4.92439027259723,0.15147060934966
"29","-","refclim","ADAPTATION","w7","NEP",-51.9341540389397,-388.953367502547,1217.44739498192,0.209797717564808
"30","-","refclim","ADAPTATION","w7","standing.volume.decidious",63.4750358870569,0,128.822861263404,0.492731144647296
"31","-","refclim","ADAPTATION","w7","BA.decidious",7.53302532442912,0,12.4483497074567,0.605142488880816
"32","-","refclim","ADAPTATION","w7","deadwood.c.ag",17185.0757945607,0,37854.244296677,0.453980157677306
"33","-","refclim","ADAPTATION","w7","carbonstock",304135.81329272,0,387627.943172939,0.7846075564192
"34","-","refclim","ADAPTATION","w7","shannon_BA_landscape",1.90654990946529,0,2.12717269598936,0.89628355660072
"35","-","refclim","ADAPTATION","w7","shannon_VOL_landscape",1.70415917329274,0,2.0661929449391,0.824782205101842
"36","-","refclim","ADAPTATION","w7","annual.harvest",7.78438181138936,0,9.16575488718929,0.849289764694599
"37","-","refclim","ADAPTATION","w7","standing.volume",286.832482906063,0,483.94324804852,0.592698594437886
"38","-","refclim","ADAPTATION","w7","LAI",3.3587437830435,0,4.68851564070693,0.716376789677739
"39","-","refclim","ADAPTATION","w7","annual.increment",11.4930142874438,0,14.5910502388423,0.787675602462713
"40","-","refclim","ADAPTATION","w8","nat.mortality.volperha",3.18921447198755,0,5.61844159386771,0.567633287399204
"41","-","refclim","ADAPTATION","w8","impact",0.802720219865611,0,4.92439027259723,0.163009058061972
"42","-","refclim","ADAPTATION","w8","NEP",76.3604055477897,-388.953367502547,1217.44739498192,0.289662320833738
"43","-","refclim","ADAPTATION","w8","standing.volume.decidious",62.3395972025821,0,128.822861263404,0.483917191336997
"44","-","refclim","ADAPTATION","w8","BA.decidious",7.43101496469108,0,12.4483497074567,0.596947799453275
"45","-","refclim","ADAPTATION","w8","deadwood.c.ag",16856.2613544938,0,37854.244296677,0.44529382814739
"46","-","refclim","ADAPTATION","w8","carbonstock",301802.921641123,0,387627.943172939,0.778589177990389
"47","-","refclim","ADAPTATION","w8","shannon_BA_landscape",1.92414656724336,0,2.12717269598936,0.904555878735756
"48","-","refclim","ADAPTATION","w8","shannon_VOL_landscape",1.72300902925954,0,2.0661929449391,0.833905194323622
"49","-","refclim","ADAPTATION","w8","annual.harvest",7.68343552192556,0,9.16575488718929,0.838276346737624
"50","-","refclim","ADAPTATION","w8","standing.volume",282.446886394708,0,483.94324804852,0.583636382021368
"51","-","refclim","ADAPTATION","w8","LAI",3.33353015274767,0,4.68851564070693,0.71099904707688
"52","-","refclim","ADAPTATION","w8","annual.increment",11.6049248638703,0,14.5910502388423,0.795345412009974
"53","-","refclim","ADAPTATION","w9","nat.mortality.volperha",3.13790312803967,0,5.61844159386771,0.558500622568464
"54","-","refclim","ADAPTATION","w9","impact",0.943881728107978,0,4.92439027259723,0.191674842134345
"55","-","refclim","ADAPTATION","w9","NEP",-72.0783902918933,-388.953367502547,1217.44739498192,0.197257735809695
"56","-","refclim","ADAPTATION","w9","standing.volume.decidious",63.2177886225535,0,128.822861263404,0.490734237716488
"57","-","refclim","ADAPTATION","w9","BA.decidious",7.50625246681662,0,12.4483497074567,0.602991773465386
