"rcp","model","mgm","windcase","nat.mortality.volperha","impact","NEP","standing.volume.decidious","BA.decidious","deadwood.c.ag","carbonstock","shannon_BA_landscape","shannon_VOL_landscape","annual.harvest","annual.increment","standing.volume","LAI"
"-","refclim","ADAPTATION","w5",0.65240657856854,0.455340208977522,0.851505612757451,0.619231804872724,0.738514083301372,0.511316835070364,0.793077589013411,1,1,0.94184556613682,0.988933564729391,0.656423703018979,0.780528493633291
"-","refclim","ADAPTATION","w6",0.693445123181822,0.445606767985795,0.87203934009287,0.63030058637768,0.747759975124382,0.483835896723094,0.806378871419082,1,1,0.931887238697955,0.989868233419599,0.695031844225833,0.81956408349553
"-","refclim","ADAPTATION","w7",0.657752096656164,0.464517775964907,0.855178470469394,0.626264191761261,0.744645767382496,0.4996601464789,0.795387177144614,1,1,0.941247988045725,0.989813592412762,0.664532119667116,0.794830382690739
"-","refclim","ADAPTATION","w8",0.65950279589443,0.553977270262514,0.861921876105725,0.585964313154604,0.697351545864635,0.529860241478421,0.803809324084496,1,1,0.959280085086419,0.989693811000548,0.678688466385931,0.786119457010443
"-","refclim","ADAPTATION","w9",0.677724015513108,0.472401481195048,0.863111728938561,0.634376416842008,0.755569727947741,0.484482531995344,0.802052249208442,1,1,0.947413527903613,0.988347602194848,0.683264537101279,0.810807263962922
"-","refclim","BAU","w5",0.625332362697635,0.557617686304906,0.704218629919918,0.51288348193544,0.550778159883125,0.508106096447142,0.790293515350469,0.780327088202555,0.784605738247192,1,0.991700014541254,0.685083761452434,0.797709010239361
"-","refclim","BAU","w6",0.641541720756852,0.586459592833103,0.578021164322272,0.50881831008823,0.549606290450386,0.481989653753186,0.789585867049475,0.797011661270964,0.801108769421253,1,0.987859166366755,0.695073886625772,0.80562466975714
"-","refclim","BAU","w7",0.620387783709269,0.590222287891667,0.612370226507083,0.514694958161461,0.553580662802671,0.498095090393899,0.785606186984598,0.794269808501004,0.79958364057702,1,0.989593084225968,0.678028376469685,0.794907009100888
"-","refclim","BAU","w8",0.635502441751412,0.671594409350714,0.740208272064297,0.491627356998769,0.529536417730508,0.529777607993115,0.800524227624539,0.792797747672979,0.798742605817112,1,0.988379156575673,0.705645744832554,0.802606101808332
"-","refclim","BAU","w9",0.641909683472915,0.594941391608225,0.577445080715907,0.516168413955398,0.555102249253226,0.482438080153021,0.790854741170915,0.793360779131996,0.797727812569404,1,0.985739259340891,0.695669173514524,0.80899253203035
"-","refclim","BIOECONOMY","w5",0.658189964144628,0.419156633230798,1,0.495822048108483,0.576446895543081,0.489064136313682,0.794791349329775,0.760763527976933,0.759869718959581,0.926288802628043,1,0.678101527274758,0.864124116733817
"-","refclim","BIOECONOMY","w6",0.70263651779777,0.418679150860806,1,0.516889454839844,0.598566512030205,0.466337801962792,0.808014240948943,0.769925754560018,0.770362842260869,0.921131124138461,1,0.715973997009749,0.906035155740815
"-","refclim","BIOECONOMY","w7",0.661687343392386,0.441400865991792,1,0.499582871628525,0.580717216055724,0.479970809638856,0.793943160134022,0.77060081181124,0.771912601572205,0.927423158614463,1,0.678960520811282,0.872767846869782
"-","refclim","BIOECONOMY","w8",0.66394920603355,0.53848292062528,1,0.477980863124249,0.553228568284473,0.508524858013994,0.801478718878799,0.772540637986646,0.773232842727454,0.937713233075516,1,0.692953036114435,0.859543362170218
"-","refclim","BIOECONOMY","w9",0.693584507701247,0.444650339993681,1,0.52558324739449,0.603396556423591,0.467296340476362,0.806737753321909,0.763080689886315,0.762369196159065,0.931506843779381,1,0.713040113005125,0.90112284601432
"-","refclim","CONSERVATION","w5",0.727661305120881,0.79226488231006,0.520451240622529,0.794273051281368,0.841479949032053,0.69920468675476,0.862792275958515,0.930379606887442,0.933902501346389,0.676228376675512,0.955442891795413,0.78016457905152,0.822811861171266
"-","refclim","CONSERVATION","w6",0.73658711537979,0.80242626431807,0.324618237837719,0.799226754145848,0.845202158910427,0.685032248731655,0.864023883074413,0.947935763091386,0.955168200571115,0.68093193190106,0.954252304358173,0.78535430245596,0.830838067621029
"-","refclim","CONSERVATION","w7",0.715125729180556,0.830145468783541,0.291810446838338,0.800074984008963,0.844090393153848,0.701784941709851,0.858862119336477,0.946759790664914,0.953891447706423,0.681893142713613,0.953075955935192,0.769625673068946,0.81413369718152
"-","refclim","CONSERVATION","w8",0.727318051757281,0.872977892255192,0.599394781669252,0.782170781983887,0.827651653787518,0.723140548070287,0.868877736458492,0.96380475050518,0.974258531088814,0.676728475209166,0.955832735982657,0.786463844247608,0.821989799735077
"-","refclim","CONSERVATION","w9",0.71993310402452,0.82358552150312,0.244709225913327,0.800400604448657,0.849001320155389,0.687992021549925,0.85890890042476,0.949825257729983,0.955548160337084,0.678511421162875,0.951643269157213,0.770299265715151,0.820015292207582
"-","refclim","UNMANAGED","w5",1,1,0.678120977574762,1,1,1,1,0.913015014638532,0.931264365254708,0,0.890302511625114,1,1
"-","refclim","UNMANAGED","w6",1,1,0.394647006055337,1,1,1,1,0.932673880276219,0.954305741493285,0,0.889560852619878,1,1
"-","refclim","UNMANAGED","w7",1,1,0.488032246008699,1,1,1,1,0.921557026620009,0.940939727120746,0,0.887759227369473,1,1
"-","refclim","UNMANAGED","w8",1,1,0.931090076946857,1,1,1,1,0.954216031879954,0.981602520955181,0,0.895700955437427,1,1
"-","refclim","UNMANAGED","w9",1,1,0.364573505544106,1,1,1,1,0.9232458732813,0.941257655029766,0,0.887706748015654,1,1
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w5",0.764783188880978,0.50613492398794,0.977411642972191,0.667925775873477,0.786949336663662,0.474378258907347,0.81217212362138,1,1,0.893539199349729,0.995790628467999,0.706663042589783,0.840270680190894
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w6",0.779449797636982,0.481866843035936,1,0.699273965876798,0.820250965782566,0.462599777378646,0.815437208018064,1,1,0.872833802699897,0.994970830625089,0.716715604541023,0.856563800184038
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w7",0.781127035186775,0.479382870890517,0.888473814161485,0.69740105570256,0.816785622672994,0.469295985069006,0.813842487015046,1,1,0.877439070528305,0.994307743228675,0.713767343791794,0.846971289484116
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w8",0.759087798117739,0.574219233164991,0.949802730891742,0.652402303915182,0.763884861479095,0.498639037052186,0.817544021256187,1,1,0.874364535043713,0.991616242687554,0.716406062000817,0.830584302089781
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w9",0.81643806200214,0.482023855767589,0.902722738893612,0.709735384225205,0.831078636669844,0.443223320138662,0.82527414643387,1,1,0.882705808802032,0.995495246726222,0.748840225361728,0.887989456061128
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w5",0.709475240107204,0.672363130252544,0.682999580742477,0.56640591549148,0.605980263966505,0.472297497140696,0.795847981104549,0.860318351836501,0.867972474684952,1,0.994971800859843,0.712273197599328,0.822785114309808
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w6",0.716741733058428,0.677116383988507,0.568242325700931,0.571997653058807,0.612383051534156,0.464341564671487,0.794630470605855,0.858085509548228,0.86433464618249,1,0.9955520388477,0.712126774677716,0.825913012988917
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w7",0.711730419197297,0.672056414229109,0.524071441183159,0.567973608075618,0.606847859429046,0.466854131011248,0.793682139046122,0.853173576958113,0.859502789707666,1,0.997387712777072,0.711620727574805,0.820665057403604
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w8",0.702101041526374,0.803469711122097,0.634297667189109,0.556598946912265,0.590213901245982,0.498464180061903,0.801107108890502,0.870046290259921,0.875796010128359,1,0.992721088979317,0.72370342879173,0.808521127565976
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w9",0.742178327108136,0.648483142035719,0.482386296688442,0.590134582966169,0.628965429605808,0.443481561426981,0.800628379120151,0.869889095626088,0.878567147029094,1,0.993425142819216,0.735649981370837,0.847679277484433
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5",0.753344382953242,0.547110811488426,1,0.584249398532757,0.661019727287643,0.457426531451647,0.804275953502739,0.837397514105157,0.848083388513823,0.908188051214876,1,0.710054358764094,0.894409835478506
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6",0.781791970567767,0.549806570384175,0.989298203000514,0.613653284187367,0.696255712032404,0.452445171648694,0.808208952251255,0.847868339368926,0.859195659523618,0.893849024199976,1,0.718505851034346,0.90965531973981
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7",0.784560711071527,0.503420384295031,1,0.59947830696037,0.680687841924144,0.451388062858254,0.808263701941953,0.834585007899083,0.844520760736378,0.869437967784439,1,0.721679820958204,0.913369280335221
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8",0.758450783087577,0.633438431359488,1,0.563229205092699,0.637000665913501,0.479964793740847,0.81129031303163,0.836261696044834,0.84414730853622,0.884031195944558,1,0.726873121043117,0.890368085980698
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9",0.838606849074053,0.476254957203932,1,0.622798859188115,0.704791151515491,0.428652781639506,0.822800044601608,0.843196788688913,0.852923702951861,0.867244263881321,1,0.766526317509218,0.957650237601827
"rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5",0.785723333814947,0.812075410490543,0.608737532129825,0.843868266837403,0.895134368580495,0.677150614894556,0.874501915166801,0.973847356293761,0.976236397078265,0.654101513655429,0.965225538489293,0.80884028600909,0.857959716812964
"rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6",0.78348547035943,0.813925346119524,0.48404566519258,0.850973671150488,0.903377059451102,0.674243654292238,0.870728809073421,0.969916486986194,0.971303941698707,0.646729916258127,0.965438088324139,0.799406099305105,0.855581940173431
"rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7",0.775520967316468,0.837150711357628,0.385260184753235,0.853655516551753,0.904770177997396,0.689045182448778,0.870493085476011,0.969347042129237,0.973047747878472,0.646959737281194,0.963034759345654,0.796365005887276,0.846247703710914
"rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8",0.78557980576763,0.825644139176425,0.702093221095416,0.826943649054375,0.876560978595823,0.693551853967159,0.878198496898988,0.983773120629674,0.987067222467721,0.63366731699207,0.964605503858521,0.814719936012399,0.854928704377576
"rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w9",0.798681631254396,0.785099790730421,0.407462992626555,0.873697225434697,0.924842652271058,0.656313491272338,0.874940999362194,0.981852553383629,0.985542097376296,0.639830955134974,0.964926478072635,0.816536084996615,0.870968881579449
"rcp45","EC-EARTH_RACMO22E-r1","UNMANAGED","w5",1,1,0.682341391280413,1,1,1,1,0.957184114119522,0.966309956850867,0,0.905199356507029,1,1
"rcp45","EC-EARTH_RACMO22E-r1","UNMANAGED","w6",1,1,0.455782334349143,1,1,1,1,0.946531975301219,0.952759486887545,0,0.902684787623881,1,1
"rcp45","EC-EARTH_RACMO22E-r1","UNMANAGED","w7",1,1,0.437274969845374,1,1,1,1,0.943767650096626,0.952235467075984,0,0.900552416666726,1,1
"rcp45","EC-EARTH_RACMO22E-r1","UNMANAGED","w8",1,1,0.877141950957482,1,1,1,1,0.974191180529329,0.985969199052339,0,0.908261701733886,1,1
"rcp45","EC-EARTH_RACMO22E-r1","UNMANAGED","w9",1,1,0.23112007418616,1,1,1,1,0.955181891752511,0.963545226479869,0,0.902182206947966,1,1
"rcp45","HadGEM2_CCLM","ADAPTATION","w5",0.74617834829677,0.542402035812373,1,0.648286267773624,0.766393891044589,0.493597148182278,0.834653776781612,1,1,0.874997996823916,0.995623317360202,0.734999916887484,0.861026881501725
"rcp45","HadGEM2_CCLM","ADAPTATION","w6",0.83805634794982,0.511480505864022,1,0.677807197855002,0.798463244596634,0.461632779799839,0.842975699106922,0.997904982547168,0.994471439061851,0.855028605650408,0.996554572933513,0.771524675290903,0.902945220155699
"rcp45","HadGEM2_CCLM","ADAPTATION","w7",0.769340862332627,0.486982279778274,1,0.677393355104956,0.798876204805385,0.481164223587824,0.834058533373352,1,1,0.871151801413185,0.995437868663766,0.735522960717387,0.877084030138201
