"","name","ADAPTATION_-","BAU_-","BIOECONOMY_-","CONSERVATION_-","UNMANAGED_-","ADAPTATION_rcp45","BAU_rcp45","BIOECONOMY_rcp45","CONSERVATION_rcp45","UNMANAGED_rcp45","ADAPTATION_rcp85","BAU_rcp85","BIOECONOMY_rcp85","CONSERVATION_rcp85","UNMANAGED_rcp85"
"1","NEP",0.23143023068205,0.364818613351391,0.391260158472543,0.296531670214523,0.706314931661849,0.296338888623744,0.331297997444959,0.408948398887453,0.298525558887267,0.600191568275368,0.248302067776957,0.239169587873959,0.337702270605314,0.228269500403724,0.493578478293714
"2","carbonstock",0.781409209610661,0.785153248483552,0.779838722111438,0.85595757800244,0.989060181849507,0.728736933195808,0.728222552445851,0.723265082195466,0.788194367528972,0.893196831580992,0.727244128445703,0.723949338024319,0.720936292306098,0.784800253753713,0.890051126933235
"3","LAI",0.712661593100972,0.74208769765584,0.782291572674019,0.774891854067749,0.948940301709498,0.669717784601856,0.686392721141754,0.723295630902032,0.709410925429774,0.835843120704523,0.67653373837803,0.685108883644809,0.722018558621109,0.710472825206816,0.831941778467348
"4","standing.volume",0.586877236891509,0.626282118787532,0.600196957418931,0.722751113926151,0.944117063577866,0.529531637410894,0.56364041871881,0.536445401092303,0.628159041147465,0.784295815698124,0.540301025896443,0.568981316615071,0.547775192412576,0.633001462840006,0.787073292336317
"5","annual.increment",0.940514190490978,0.943879899083087,0.951553172430187,0.90967288483881,0.847074587504432,0.91973941572859,0.923077648522804,0.924446371724464,0.891992635214596,0.83551543510731,0.923920880573026,0.927063202064847,0.932529488316232,0.896548521048424,0.839520461007759
"6","annual.harvest",0.847261104770693,0.850003526658214,0.832863262093612,0.606713876799278,0,0.763439687659477,0.803150419924244,0.754467847362357,0.558801204441967,0,0.786700583367863,0.836708945762919,0.779123987776908,0.575674973424441,0
"7","shannon_BA_landscape",0.898428712523639,0.705007364340197,0.682698029106791,0.844810992359871,0.820105036233464,0.970113502022324,0.826688872161072,0.804494628510325,0.951536840184449,0.937316128607092,0.973709195939736,0.839703229961985,0.814695786776594,0.957198652173104,0.940748781937251
"8","deadwood.c.ag",0.450639882016676,0.442764326682473,0.429355337475678,0.551179733342197,0.709303408795301,0.422532951823444,0.412295518785531,0.401317806348188,0.530635885322383,0.706863337127735,0.427272538747771,0.420017595927291,0.409218383582137,0.547861241153767,0.745734975508271
