"","rcp","model","mgm","windcase","Climate","Production","Water","Biodiversity","score"
"97","rcp45","MPI_CCLM","UNMANAGED","w6",0.744452957342535,0.312209872335064,0.758759309429957,0.841451802090228,2.65687394119778
"98","rcp45","MPI_CCLM","UNMANAGED","w7",0.730466771247206,0.309704381119256,0.782864334457294,0.837053371809237,2.66008885863299
"99","rcp45","MPI_CCLM","UNMANAGED","w8",0.903654874099383,0.307081702070028,0.781161110739654,0.801706275096376,2.79360396200544
"100","rcp45","MPI_CCLM","UNMANAGED","w9",0.779426189056787,0.315184922271371,0.751884479391931,0.838692496371388,2.68518808709148
"101","rcp45","NCC_HIRHAM5","ADAPTATION","w5",0.522957230076877,0.801384839655296,0.639579316658122,0.67906179909957,2.64298318548986
"102","rcp45","NCC_HIRHAM5","ADAPTATION","w6",0.498338567189079,0.801865445513206,0.630596863496294,0.684114604535694,2.61491548073427
"103","rcp45","NCC_HIRHAM5","ADAPTATION","w7",0.481760851272729,0.807925318372633,0.640171655189783,0.680822732687463,2.61068055752261
"104","rcp45","NCC_HIRHAM5","ADAPTATION","w8",0.514420545838777,0.808942412958138,0.636810408530097,0.677943680766223,2.63811704809324
"105","rcp45","NCC_HIRHAM5","ADAPTATION","w9",0.487757598612104,0.804522543253763,0.627406369869303,0.68455194594328,2.60423845767845
"106","rcp45","NCC_HIRHAM5","BAU","w5",0.572366605835203,0.85269392415836,0.669607442328444,0.598982795546893,2.6936507678689
"107","rcp45","NCC_HIRHAM5","BAU","w6",0.518643503873532,0.859793700066564,0.645588288592007,0.609902856256291,2.63392834878839
"108","rcp45","NCC_HIRHAM5","BAU","w7",0.528433877465882,0.863169074032337,0.670214065157334,0.599848830399453,2.66166584705501
"109","rcp45","NCC_HIRHAM5","BAU","w8",0.569188086510746,0.860091527475609,0.667342367583306,0.598449401840348,2.69507138341001
"110","rcp45","NCC_HIRHAM5","BAU","w9",0.490505472993282,0.862997499129708,0.640615865244573,0.61383825169216,2.60795708905972
"111","rcp45","NCC_HIRHAM5","BIOECONOMY","w5",0.582129690914366,0.817215991450903,0.672332969788939,0.584431985415567,2.65611063756977
"112","rcp45","NCC_HIRHAM5","BIOECONOMY","w6",0.548545375206462,0.815865353952377,0.663426739250433,0.590312972954548,2.61815044136382
"113","rcp45","NCC_HIRHAM5","BIOECONOMY","w7",0.554762433227591,0.819567120333849,0.673873815135393,0.585146009503837,2.63334937820067
"114","rcp45","NCC_HIRHAM5","BIOECONOMY","w8",0.59552992811814,0.812635162191212,0.668292477417023,0.585118664373313,2.66157623209969
"115","rcp45","NCC_HIRHAM5","BIOECONOMY","w9",0.535341312852559,0.813967307327333,0.659641280077708,0.593246549507479,2.60219644976508
"116","rcp45","NCC_HIRHAM5","CONSERVATION","w5",0.594362314243425,0.678064912278159,0.723572527430772,0.713076077639809,2.70907583159216
"117","rcp45","NCC_HIRHAM5","CONSERVATION","w6",0.528986150575993,0.683797918352783,0.697685237901648,0.72866664251017,2.63913594934059
"118","rcp45","NCC_HIRHAM5","CONSERVATION","w7",0.507470180135228,0.687808222549052,0.722756366455068,0.722730027076294,2.64076479621564
"119","rcp45","NCC_HIRHAM5","CONSERVATION","w8",0.629027762031718,0.671147946246687,0.722800674273298,0.706831295482812,2.72980767803451
"120","rcp45","NCC_HIRHAM5","CONSERVATION","w9",0.540818420193569,0.677712708535306,0.692123608981505,0.73542155149798,2.64607628920836
"121","rcp45","NCC_HIRHAM5","UNMANAGED","w5",0.877139213730465,0.321604803777168,0.89032833149236,0.774191426995235,2.86326377599523
"122","rcp45","NCC_HIRHAM5","UNMANAGED","w6",0.772390404591917,0.321761149975114,0.861962959174451,0.801542440803687,2.75765695454517
"123","rcp45","NCC_HIRHAM5","UNMANAGED","w7",0.746845214516973,0.317339132758049,0.89217006031005,0.793799008978573,2.75015341656365
"124","rcp45","NCC_HIRHAM5","UNMANAGED","w8",0.916729395923383,0.317694319140908,0.885137240616987,0.761277321205617,2.8808382768869
"125","rcp45","NCC_HIRHAM5","UNMANAGED","w9",0.698477102810426,0.324936594821516,0.840033139920704,0.824223187759631,2.68767002531228
"126","rcp85","EC-EARTH_RACMO22E-r1","ADAPTATION","w5",0.566653541248374,0.91238270290145,0.705874818393288,0.666777183908923,2.85168824645204
"127","rcp85","EC-EARTH_RACMO22E-r1","ADAPTATION","w6",0.538582997600324,0.913058992187811,0.697488424081254,0.669208684523408,2.8183390983928
"128","rcp85","EC-EARTH_RACMO22E-r1","ADAPTATION","w7",0.509895677179677,0.920995821708588,0.703071199152657,0.670001568790618,2.80396426683154
"129","rcp85","EC-EARTH_RACMO22E-r1","ADAPTATION","w8",0.543065344199861,0.924031962772277,0.69629904256808,0.670240216563959,2.83363656610418
"130","rcp85","EC-EARTH_RACMO22E-r1","ADAPTATION","w9",0.502007625633245,0.923637976505883,0.689381607706981,0.67256575572593,2.78759296557204
"131","rcp85","EC-EARTH_RACMO22E-r1","BAU","w5",0.601306671264282,0.9782540304642,0.731404246159004,0.578752862543621,2.88971781043111
"132","rcp85","EC-EARTH_RACMO22E-r1","BAU","w6",0.550273418623087,0.973103260745099,0.712512835455662,0.585081925701398,2.82097144052525
"133","rcp85","EC-EARTH_RACMO22E-r1","BAU","w7",0.547703282798539,0.982847493161676,0.732312422968506,0.578184511613759,2.84104771054248
"134","rcp85","EC-EARTH_RACMO22E-r1","BAU","w8",0.580711797704191,1,0.726056553676745,0.581049805441064,2.887818156822
"135","rcp85","EC-EARTH_RACMO22E-r1","BAU","w9",0.539526760399229,0.979047597084768,0.717062811445997,0.583699047101672,2.81933621603167
"136","rcp85","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5",0.627651582980944,0.933411878331703,0.744425867224526,0.562860990955013,2.86835031949219
"137","rcp85","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6",0.58654941908999,0.933850910373675,0.736553019850258,0.568201809249194,2.82515515856312
"138","rcp85","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7",0.600662426892342,0.935761017634383,0.748556892913033,0.563869085907907,2.84884942334766
"139","rcp85","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8",0.624578816592357,0.942729233132376,0.737176031630243,0.56644922093643,2.87093330229141
"140","rcp85","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9",0.563244183687021,0.933765443112329,0.733046489021123,0.571223128499158,2.80127924431963
"141","rcp85","EC-EARTH_RACMO22E-r1","CONSERVATION","w5",0.668334481882567,0.766600365487125,0.79829126726786,0.695259184406952,2.9284852990445
"142","rcp85","EC-EARTH_RACMO22E-r1","CONSERVATION","w6",0.582673296411982,0.770775687487653,0.770765099017819,0.709357511463147,2.8335715943806
"143","rcp85","EC-EARTH_RACMO22E-r1","CONSERVATION","w7",0.57340754756082,0.779537714031326,0.800408804350176,0.696851617692937,2.85020568363526
"144","rcp85","EC-EARTH_RACMO22E-r1","CONSERVATION","w8",0.653299620921516,0.782364829988305,0.787062955471029,0.701362092900991,2.92408949928184
"145","rcp85","EC-EARTH_RACMO22E-r1","CONSERVATION","w9",0.546179829163411,0.776092763623938,0.762724932924538,0.718546929788884,2.80354445550077
"146","rcp85","EC-EARTH_RACMO22E-r1","UNMANAGED","w5",0.957991631357923,0.37860089952783,1,0.753690622334415,3.09028315322017
"147","rcp85","EC-EARTH_RACMO22E-r1","UNMANAGED","w6",0.824445456175627,0.378686636370786,0.953479406090987,0.794639234737536,2.95125073337494
"148","rcp85","EC-EARTH_RACMO22E-r1","UNMANAGED","w7",0.800822007386192,0.372622140344449,0.992107100951052,0.778371671866106,2.9439229205478
"149","rcp85","EC-EARTH_RACMO22E-r1","UNMANAGED","w8",0.976860902734321,0.378328122850622,0.971481999237451,0.765471036935103,3.0921420617575
"150","rcp85","EC-EARTH_RACMO22E-r1","UNMANAGED","w9",0.756163276163488,0.378332374400033,0.936992377142936,0.813391711389515,2.88487973909597
"151","rcp85","HadGEM2_CCLM","ADAPTATION","w5",0.545210320661127,0.725148467343997,0.523086146200444,0.752267705919007,2.54571264012457
"152","rcp85","HadGEM2_CCLM","ADAPTATION","w6",0.512189658874377,0.727614473779515,0.507334611564798,0.756500917370369,2.50363966158906
"153","rcp85","HadGEM2_CCLM","ADAPTATION","w7",0.516783297901643,0.725783713617004,0.521378014965761,0.754518806827686,2.51846383331209
"154","rcp85","HadGEM2_CCLM","ADAPTATION","w8",0.544346681999108,0.729853788081995,0.520674156249341,0.750546871423702,2.54542149775415
"155","rcp85","HadGEM2_CCLM","ADAPTATION","w9",0.520036829881698,0.725010675524121,0.514706953802856,0.755476082325725,2.5152305415344
"156","rcp85","HadGEM2_CCLM","BAU","w5",0.47645803144658,0.76628441429154,0.530462372867468,0.702862222721446,2.47606704132703
"157","rcp85","HadGEM2_CCLM","BAU","w6",0.398666400123556,0.77810637563609,0.507494636861628,0.711045869467984,2.39531328208926
"158","rcp85","HadGEM2_CCLM","BAU","w7",0.438536193127596,0.772781142248902,0.53079017892886,0.704224666787231,2.44633218109259
"159","rcp85","HadGEM2_CCLM","BAU","w8",0.469114017525165,0.777870649404763,0.522277173168842,0.704477865011368,2.47373970511014
"160","rcp85","HadGEM2_CCLM","BAU","w9",0.425192034394168,0.769796873571825,0.516686099262396,0.707204927663901,2.41887993489229
"161","rcp85","HadGEM2_CCLM","BIOECONOMY","w5",0.553195101679984,0.743542923841407,0.522122741872939,0.683566778425711,2.50242754582004
"162","rcp85","HadGEM2_CCLM","BIOECONOMY","w6",0.518362273161435,0.734926123024479,0.508881109296653,0.693875104138689,2.45604460962126
"163","rcp85","HadGEM2_CCLM","BIOECONOMY","w7",0.555321630495959,0.736325838191479,0.529640412375598,0.682469609036381,2.50375749009942
"164","rcp85","HadGEM2_CCLM","BIOECONOMY","w8",0.576269732703136,0.742895907790769,0.527449465141471,0.681040040895643,2.52765514653102
"165","rcp85","HadGEM2_CCLM","BIOECONOMY","w9",0.545459641868334,0.73506333968387,0.522578150528805,0.685847437169318,2.48894856925033
"166","rcp85","HadGEM2_CCLM","CONSERVATION","w5",0.496860250359473,0.62114868019354,0.55805186419586,0.830449899571868,2.50651069432074
"167","rcp85","HadGEM2_CCLM","CONSERVATION","w6",0.415055180911865,0.624945726485279,0.526072769790245,0.85239670864113,2.41847038582852
"168","rcp85","HadGEM2_CCLM","CONSERVATION","w7",0.417522657065898,0.629026953981394,0.547174240854613,0.845293195498426,2.43901704740033
"169","rcp85","HadGEM2_CCLM","CONSERVATION","w8",0.529149131686341,0.620433147530038,0.557685189964836,0.822649255892264,2.52991672507348
"170","rcp85","HadGEM2_CCLM","CONSERVATION","w9",0.448647919844573,0.622025606050086,0.536498144421721,0.843809896914934,2.45098156723131
"171","rcp85","HadGEM2_CCLM","UNMANAGED","w5",0.540278304973417,0.359597736784553,0.621460850486948,0.971426798242014,2.49276369048693
"172","rcp85","HadGEM2_CCLM","UNMANAGED","w6",0.464131866755667,0.355704398992438,0.588081858818561,0.993076532785214,2.40099465735188
"173","rcp85","HadGEM2_CCLM","UNMANAGED","w7",0.476731348545825,0.361593921062702,0.62249939958117,0.97867768144613,2.43950235063583
"174","rcp85","HadGEM2_CCLM","UNMANAGED","w8",0.639619639310431,0.359125737259276,0.62831417769062,0.943590316215095,2.57064987047542
"175","rcp85","HadGEM2_CCLM","UNMANAGED","w9",0.51557466018497,0.36268122677929,0.603024992087718,0.984764449176408,2.46604532822839
"176","rcp85","MPI_CCLM","ADAPTATION","w5",0.437974977232557,0.76648705008959,0.606473447001536,0.703592679537824,2.51452815386151
"177","rcp85","MPI_CCLM","ADAPTATION","w6",0.409362529016729,0.765326901539858,0.592325103781438,0.711833347619327,2.47884788195735
"178","rcp85","MPI_CCLM","ADAPTATION","w7",0.385448025275509,0.774284240520602,0.60406510797013,0.707490112897311,2.47128748666355
"179","rcp85","MPI_CCLM","ADAPTATION","w8",0.436786108146809,0.772361350485572,0.597260210243019,0.707232847871983,2.51364051674738
"180","rcp85","MPI_CCLM","ADAPTATION","w9",0.395202720165114,0.774977198521292,0.592710958614117,0.70878605418178,2.4716769314823
"181","rcp85","MPI_CCLM","BAU","w5",0.464207379386309,0.809581384401312,0.632011030713543,0.630035335506312,2.53583513000748
"182","rcp85","MPI_CCLM","BAU","w6",0.396801134505706,0.831356536793363,0.610741307607689,0.639147127016948,2.47804610592371
"183","rcp85","MPI_CCLM","BAU","w7",0.420353184311798,0.817644469638583,0.630905796372988,0.631017251228727,2.4999207015521
"184","rcp85","MPI_CCLM","BAU","w8",0.513269643953103,0.806274187740464,0.630572309636219,0.628164874877276,2.57828101620706
"185","rcp85","MPI_CCLM","BAU","w9",0.364970570908203,0.830009998392045,0.60460971766634,0.643351525078631,2.44294181204522
"186","rcp85","MPI_CCLM","BIOECONOMY","w5",0.456941318623122,0.781387704529711,0.632103977015686,0.612743702334128,2.48317670250265
"187","rcp85","MPI_CCLM","BIOECONOMY","w6",0.445408512049761,0.777204814905911,0.628212002137801,0.619738936993472,2.47056426608694
"188","rcp85","MPI_CCLM","BIOECONOMY","w7",0.438083751773018,0.784687614101386,0.636529186439381,0.611686281252259,2.47098683356604
"189","rcp85","MPI_CCLM","BIOECONOMY","w8",0.474773925846175,0.786613366321497,0.626165217368961,0.614279838391736,2.50183234792837
"190","rcp85","MPI_CCLM","BIOECONOMY","w9",0.422301069743624,0.781074900872863,0.626510049378654,0.621115190900757,2.4510012108959
"191","rcp85","MPI_CCLM","CONSERVATION","w5",0.510531741377477,0.637468409363871,0.684465717883031,0.742341306702769,2.57480717532715
"192","rcp85","MPI_CCLM","CONSERVATION","w6",0.385664513753197,0.659753148289046,0.640622762260505,0.779236642949691,2.46527706725244
"193","rcp85","MPI_CCLM","CONSERVATION","w7",0.395494935752286,0.649565358244432,0.668490560908312,0.765868939548963,2.47941979445399
"194","rcp85","MPI_CCLM","CONSERVATION","w8",0.533125370043979,0.632679994353472,0.674647720488477,0.740993313007113,2.58144639789304
"195","rcp85","MPI_CCLM","CONSERVATION","w9",0.409349680212594,0.649692464661212,0.651139576662921,0.771717370835317,2.48189909237204
"196","rcp85","MPI_CCLM","UNMANAGED","w5",0.695017809166962,0.293800085736043,0.822624888113568,0.833360016659322,2.64480279967589
"197","rcp85","MPI_CCLM","UNMANAGED","w6",0.604359970646828,0.295928988254705,0.79357821482944,0.863809954007196,2.55767712773817
"198","rcp85","MPI_CCLM","UNMANAGED","w7",0.564469102863635,0.292536674550886,0.813769719682899,0.861353273506133,2.53212877060355
"199","rcp85","MPI_CCLM","UNMANAGED","w8",0.770848542527144,0.288511530960973,0.812756479792098,0.811719925238837,2.68383647851905
"200","rcp85","MPI_CCLM","UNMANAGED","w9",0.540419292045013,0.29978691099606,0.775063751681842,0.8803455398337,2.49561549455662
"201","rcp85","NCC_HIRHAM5","ADAPTATION","w5",0.490971979794536,0.79569601707179,0.623071331369149,0.669051164621792,2.57879049285727
"202","rcp85","NCC_HIRHAM5","ADAPTATION","w6",0.470685558770956,0.791950151512813,0.617019176541403,0.672779357370462,2.55243424419563
"203","rcp85","NCC_HIRHAM5","ADAPTATION","w7",0.455601749319321,0.801779941871146,0.623845956951597,0.669402678119598,2.55063032626166
"204","rcp85","NCC_HIRHAM5","ADAPTATION","w8",0.50240952760942,0.794318081589715,0.616918822348024,0.671116652478728,2.58476308402589
"205","rcp85","NCC_HIRHAM5","ADAPTATION","w9",0.472246811716205,0.799102570007012,0.615362553238864,0.670428658796939,2.55714059375902
"206","rcp85","NCC_HIRHAM5","BAU","w5",0.512937975062754,0.850666351569007,0.651834796072377,0.593042573614718,2.60848169631886
"207","rcp85","NCC_HIRHAM5","BAU","w6",0.469953783686639,0.856589650482152,0.627994670097515,0.603594321794424,2.55813242606073
"208","rcp85","NCC_HIRHAM5","BAU","w7",0.481645239696342,0.854857405473095,0.646849302999469,0.595128249913639,2.57848019808254
"209","rcp85","NCC_HIRHAM5","BAU","w8",0.521023133699286,0.858084964589287,0.64848810799802,0.593816489713604,2.6214126960002
"210","rcp85","NCC_HIRHAM5","BAU","w9",0.458538606366243,0.853583873420643,0.629835632639533,0.60332680609503,2.54528491852145
"211","rcp85","NCC_HIRHAM5","BIOECONOMY","w5",0.529189822660641,0.800615481783728,0.650532699911997,0.578603515118492,2.55894151947486
"212","rcp85","NCC_HIRHAM5","BIOECONOMY","w6",0.518035848828671,0.799902860856202,0.645261475840322,0.581445153868849,2.54464533939404
"213","rcp85","NCC_HIRHAM5","BIOECONOMY","w7",0.508832992066495,0.805804950228177,0.65162513310776,0.580069778053067,2.5463328534555
"214","rcp85","NCC_HIRHAM5","BIOECONOMY","w8",0.539469095838201,0.80532445927061,0.647177521446382,0.578567523072921,2.57053859962811
"215","rcp85","NCC_HIRHAM5","BIOECONOMY","w9",0.502054482532917,0.805674676789551,0.643390067835263,0.581488578388186,2.53260780554592
