"","rcp","model","mgm","windcase","Climate","Production","Water","Biodiversity","score"
"1","-","refclim","ADAPTATION","w5",0.516887120761408,0.892072841866289,0.655509245958955,0.673310743662,2.73777995224865
"2","-","refclim","ADAPTATION","w6",0.495406643889712,0.897328961141174,0.645715877968044,0.674564490477125,2.71301597347605
"3","-","refclim","ADAPTATION","w7",0.497202636992004,0.895703464073577,0.654537692057812,0.675131857139013,2.72257565026241
"4","-","refclim","ADAPTATION","w8",0.534125749412063,0.889025041432159,0.647317714549124,0.674924853441573,2.74539335883492
"5","-","refclim","ADAPTATION","w9",0.488476449676589,0.89530792964098,0.645766544447267,0.674739541631078,2.70429046539591
"6","-","refclim","BAU","w5",0.593734317453165,0.895248590379347,0.690583540677473,0.572377586069495,2.75194403457948
"7","-","refclim","BAU","w6",0.559990010910388,0.896410346206964,0.675147922481932,0.575502879674436,2.70705115927372
"8","-","refclim","BAU","w7",0.564327049204499,0.900318061229732,0.68919197840556,0.572991665174222,2.72682875401401
"9","-","refclim","BAU","w8",0.607040465507751,0.89683087498249,0.687774624174915,0.572454353339771,2.76410031800493
"10","-","refclim","BAU","w9",0.549837811511554,0.895900691554719,0.678226475368551,0.57610274329875,2.70006772173357
"11","-","refclim","BIOECONOMY","w5",0.600902128929993,0.890648113905646,0.695832854660962,0.554448712029689,2.74183180952629
"12","-","refclim","BIOECONOMY","w6",0.571674779265862,0.891084801444729,0.688000168372295,0.558613975313785,2.70937372439667
"13","-","refclim","BIOECONOMY","w7",0.579747047966813,0.896523773494611,0.697673045723928,0.551742648331454,2.72568651551681
"14","-","refclim","BIOECONOMY","w8",0.611378267512235,0.888743624204382,0.686834301339015,0.556710617339545,2.74366681039518
"15","-","refclim","BIOECONOMY","w9",0.56404497778505,0.894040773260129,0.687880955136173,0.558617463441701,2.70458416962305
"16","-","refclim","CONSERVATION","w5",0.618736423411613,0.75688572431466,0.766274134092668,0.686174128010763,2.8280704098297
"17","-","refclim","CONSERVATION","w6",0.554528698677856,0.758566920831883,0.740033729564054,0.702177362264702,2.7553067113385
"18","-","refclim","CONSERVATION","w7",0.533206732458972,0.76050507609297,0.751866413912287,0.702542450361604,2.74812067282583
"19","-","refclim","CONSERVATION","w8",0.619403298814142,0.759211658652282,0.749469965562692,0.696203829914575,2.82428875294369
"20","-","refclim","CONSERVATION","w9",0.555347967179825,0.755797524203423,0.736463176853047,0.702879043703526,2.75048771193982
"21","-","refclim","UNMANAGED","w5",0.906263495812334,0.423544232027964,0.973902618452895,0.742631654626527,3.04634200091972
"22","-","refclim","UNMANAGED","w6",0.806375342348833,0.423357554203237,0.929814689279468,0.779491699258774,2.93903928509031
"23","-","refclim","UNMANAGED","w7",0.821543424938911,0.422986153333953,0.96408927590963,0.762502834048681,2.97112168823118
"24","-","refclim","UNMANAGED","w8",0.926729780720245,0.425048504191426,0.936373177103259,0.759178723886471,3.0473301859014
"25","-","refclim","UNMANAGED","w9",0.777525739958067,0.4227500250045,0.928463652473157,0.77971620075146,2.90845561818718
"26","rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w5",0.543546405199887,0.867443113521448,0.632280481838786,0.688183825820065,2.73145382638019
"27","rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w6",0.52351937387318,0.871178249091714,0.626939239229178,0.687498204366014,2.70913506656009
"28","rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w7",0.521149509220077,0.869291061056593,0.6344123775837,0.686753055988047,2.71160600384842
"29","rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w8",0.540620950166064,0.872570053403746,0.626712599180692,0.689594720219212,2.72949832296972
"30","rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w9",0.512884078422002,0.868040836801027,0.623256441138155,0.692219739450935,2.69640109581212
"31","rcp45","EC-EARTH_RACMO22E-r1","BAU","w5",0.59333153126786,0.879684185088408,0.661872452145143,0.603879674834927,2.73876784333634
"32","rcp45","EC-EARTH_RACMO22E-r1","BAU","w6",0.555969027854954,0.87958726087616,0.654548444466574,0.603973553378261,2.69407828657595
"33","rcp45","EC-EARTH_RACMO22E-r1","BAU","w7",0.54351050510912,0.883770330459267,0.661549004874407,0.605768174819457,2.69459801526225
"34","rcp45","EC-EARTH_RACMO22E-r1","BAU","w8",0.568640912994291,0.887398775639912,0.652945143141846,0.610223644440424,2.71920847621647
"35","rcp45","EC-EARTH_RACMO22E-r1","BAU","w9",0.519152111402642,0.885114805575416,0.643063474454606,0.612742802884773,2.66007319431744
"36","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5",0.609802861624835,0.861700220239989,0.664640192812648,0.589357945219385,2.72550121989686
"37","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6",0.58760811796979,0.863337056622701,0.660613015231265,0.591281453132187,2.70283964295594
"38","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7",0.585214035609089,0.866849972777987,0.667168266092671,0.590297473660491,2.70952974814024
